column_name,feature_role,missing_decision,rare_decision,encoding_decision,unknown_handling_decision,review_decision,final_manual_action,manual_note
CentralAir,nominal categorical feature,no missing handling needed,no rare grouping needed,binary 0/1 encoding or one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
Electrical,nominal categorical feature,fill missing with mode or 'Unknown',no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),no major review needed,keep,"Feature has no natural order, so avoid label encoding."
KitchenQual,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
Functional,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
FireplaceQu,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
GarageType,nominal categorical feature,fill missing with 'None',no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
GarageFinish,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
GarageQual,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
GarageCond,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
PavedDrive,ordinal categorical feature,no missing handling needed,no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,no major review needed,keep,"Feature has meaningful order, so ordinal encoding is suitable."
PoolQC,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
Fence,ordinal categorical feature,fill missing with 'None',no rare grouping needed,ordinal encoding,OrdinalEncoder with unknown_value=-1,keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
MiscFeature,nominal categorical feature,fill missing with 'None',no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),keep absence/luxury signal,keep,Absence or rare presence may represent meaningful property condition or luxury signal.
SaleType,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),availability review before modeling,keep but review,Sale transaction feature; confirm availability at prediction time.
SaleCondition,nominal categorical feature,no missing handling needed,no rare grouping needed,one-hot encoding,OneHotEncoder(handle_unknown='ignore'),availability review before modeling,keep but review,Sale transaction feature; confirm availability at prediction time.
