analysis_group,column_name,final_manual_action,manual_note,encoding_decision,feature_behavior,feature_group,feature_role,feature_type,indicator_decision,missing_decision,modeling_treatment,outlier_decision,rare_decision,review_decision,scaling_decision,transformation_decision,unknown_handling_decision,zero_value_decision
time,MoSold,keep,"Month captures seasonal sale timing, but sale count and price trend should be interpreted separately.",,,sale_time,,sale month,,,categorical-style time feature,,,,,,,
time,SaleQuarter,keep,"Q2/Q3 show higher sale activity, so quarter can capture seasonal pattern.",,,engineered_time,,quarter,,,categorical-style time feature,,,,,,,
time,SaleSeason,keep,"Spring/Summer have higher sale activity, while Winter is lower.",,,engineered_time,,season,,,categorical-style time feature,,,,,,,
time,HouseAge,keep,Strong engineered feature; older houses generally show lower SalePrice.,,,engineered_age,,continuous age,,,numeric feature,,,,,,,
time,RemodAge,keep,Recent remodeling appears related to higher SalePrice.,,,engineered_age,,continuous age,,,numeric feature,,,,,,,
time,GarageAge,keep with HasGarageYrBlt,GarageAge is useful but should be paired with HasGarageYrBlt due to missing garage year.,,,engineered_age,,continuous age with missing,,,numeric feature + garage indicator,,,,,,,
time,IsRemodeled,keep,"Useful remodel indicator, but weaker than IsNewHouse.",,,engineered_binary,,binary indicator,,,binary feature,,,,,,,
time,HasGarageYrBlt,keep,Useful garage presence signal.,,,engineered_binary,,binary indicator,,,binary feature,,,,,,,
time,IsNewHouse,keep,New houses show clearly higher SalePrice.,,,engineered_binary,,binary indicator,,,binary feature,,,,,,,
categorical,MSSubClass,keep + safe unknown handling,"Feature has no natural order, so avoid label encoding.",rare grouping + one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,rare grouping recommended/review,minor unseen test category exists,,,handle unseen class safely,
categorical,MSZoning,keep,"Feature has no natural order, so avoid label encoding.",one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Street,keep but review,High dominance or rare/absence behavior may still carry important price signal.,binary 0/1 encoding or one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,review with SalePrice before dropping,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Alley,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,binary 0/1 encoding or one-hot encoding,,,nominal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OneHotEncoder(handle_unknown='ignore'),
categorical,LotShape,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,LandContour,keep,"Feature has no natural order, so avoid label encoding.",one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Utilities,keep but review,High dominance or rare/absence behavior may still carry important price signal.,binary 0/1 encoding or one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,review with SalePrice before dropping,,,OneHotEncoder(handle_unknown='ignore'),
categorical,LotConfig,keep,"Feature has no natural order, so avoid label encoding.",one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,LandSlope,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,Neighborhood,keep + rare grouping,Neighborhood is likely an important location signal; keep and group rare labels if needed.,rare grouping + one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,rare grouping recommended/review,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Condition1,keep,"Feature has no natural order, so avoid label encoding.",one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Condition2,keep but review,High dominance or rare/absence behavior may still carry important price signal.,one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,review with SalePrice before dropping,,,OneHotEncoder(handle_unknown='ignore'),
categorical,BldgType,keep,"Feature has no natural order, so avoid label encoding.",one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,HouseStyle,keep,"Feature has no natural order, so avoid label encoding.",rare grouping + one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,rare grouping recommended/review,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,OverallQual,keep,Numeric-looking but ordinal quality/condition feature; keep as ordered categorical signal.,ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,OverallCond,keep,Numeric-looking but ordinal quality/condition feature; keep as ordered categorical signal.,ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,RoofStyle,keep,"Feature has no natural order, so avoid label encoding.",rare grouping + one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,rare grouping recommended/review,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,RoofMatl,keep but review,High dominance or rare/absence behavior may still carry important price signal.,one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,review with SalePrice before dropping,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Exterior1st,keep,"Feature has no natural order, so avoid label encoding.",rare grouping + one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,rare grouping recommended/review,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Exterior2nd,keep,"Feature has no natural order, so avoid label encoding.",rare grouping + one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,rare grouping recommended/review,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,MasVnrType,keep but review,High dominance or rare/absence behavior may still carry important price signal.,one-hot encoding,,,nominal categorical feature,,,fill missing with 'None',,,no rare grouping needed,review with SalePrice before dropping,,,OneHotEncoder(handle_unknown='ignore'),
categorical,ExterQual,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,ExterCond,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,Foundation,keep,"Feature has no natural order, so avoid label encoding.",one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,BsmtQual,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,BsmtCond,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,BsmtExposure,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,BsmtFinType1,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,BsmtFinType2,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,Heating,keep but review,High dominance or rare/absence behavior may still carry important price signal.,one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,review with SalePrice before dropping,,,OneHotEncoder(handle_unknown='ignore'),
categorical,HeatingQC,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,CentralAir,keep,"Feature has no natural order, so avoid label encoding.",binary 0/1 encoding or one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,Electrical,keep,"Feature has no natural order, so avoid label encoding.",one-hot encoding,,,nominal categorical feature,,,fill missing with mode or 'Unknown',,,no rare grouping needed,no major review needed,,,OneHotEncoder(handle_unknown='ignore'),
categorical,KitchenQual,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,Functional,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,FireplaceQu,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,GarageType,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,one-hot encoding,,,nominal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OneHotEncoder(handle_unknown='ignore'),
categorical,GarageFinish,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,GarageQual,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,GarageCond,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,PavedDrive,keep,"Feature has meaningful order, so ordinal encoding is suitable.",ordinal encoding,,,ordinal categorical feature,,,no missing handling needed,,,no rare grouping needed,no major review needed,,,OrdinalEncoder with unknown_value=-1,
categorical,PoolQC,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,Fence,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,ordinal encoding,,,ordinal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OrdinalEncoder with unknown_value=-1,
categorical,MiscFeature,keep,Absence or rare presence may represent meaningful property condition or luxury signal.,one-hot encoding,,,nominal categorical feature,,,fill missing with 'None',,,no rare grouping needed,keep absence/luxury signal,,,OneHotEncoder(handle_unknown='ignore'),
categorical,SaleType,keep but review,Sale transaction feature; confirm availability at prediction time.,one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,availability review before modeling,,,OneHotEncoder(handle_unknown='ignore'),
categorical,SaleCondition,keep but review,Sale transaction feature; confirm availability at prediction time.,one-hot encoding,,,nominal categorical feature,,,no missing handling needed,,,no rare grouping needed,availability review before modeling,,,OneHotEncoder(handle_unknown='ignore'),
