column_name,feature_behavior,missing_decision,zero_value_decision,transformation_decision,indicator_decision,outlier_decision,scaling_decision,modeling_treatment,final_manual_action,manual_note
GrLivArea,right-skewed numeric feature,no missing handling needed,keep zero as valid value,consider log1p,no indicator needed,inspect high values with SalePrice before removal,robust scaling if using linear models,important numeric predictor,keep + transform/check,Right-skewed numeric feature; log1p can reduce skewness.
BsmtFullBath,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
BsmtHalfBath,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
FullBath,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
HalfBath,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
BedroomAbvGr,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
KitchenAbvGr,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
TotRmsAbvGrd,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
Fireplaces,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
GarageCars,discrete count feature,no missing handling needed,keep zero as valid value,no log transform,no indicator needed,review only if model is sensitive,scaling optional,keep as numeric count,keep,Low-cardinality count feature; numeric order has real meaning.
GarageArea,regular numeric,no missing handling needed,keep zero as valid value,no transformation,no indicator needed,inspect high values with SalePrice before removal,standard/robust scaling if needed,important numeric predictor,keep; transform if needed,Feature can be used with normal numeric preprocessing.
WoodDeckSF,zero-heavy numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasWoodDeck,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.
OpenPorchSF,zero-heavy numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasOpenPorch,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.
EnclosedPorch,zero-heavy numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasEnclosedPorch,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.
3SsnPorch,rare/sparse numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create Has3SsnPorch,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.
ScreenPorch,zero-heavy numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasScreenPorch,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep + binary indicator,Zero represents absence or no value; do not treat zero as missing.
PoolArea,rare/sparse numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasPool,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.
MiscVal,rare/sparse numeric feature,no missing handling needed,zero is valid absence signal,consider log1p,create HasMiscVal,check upper-tail outliers before capping,robust scaling if using linear models,use as numeric feature,keep indicator; raw feature optional,Sparse feature may still capture rare luxury or unusual property signal.
