feature_name,feature_group,signal_strength,normalized_signal_score,priority_level,final_keep_decision,engineering_action,review_note,final_modeling_note
IsNewHouse,time_group,moderate,0.4336,high priority,keep,age/time engineered feature candidate,No major bivariate issue found.,Prefer age features over raw year values.
MasVnrType,nominal_categorical,moderate,0.4281,high priority,keep,presence/absence indicator candidate,No major bivariate issue found.,Keep original feature and create selected Has... indicator.
MasVnrArea,numeric_continuous,moderate,0.4213,high priority,keep,presence/absence indicator candidate,No major bivariate issue found.,Keep original feature and create selected Has... indicator.
GarageQual,categorical_absence,strong,0.4141,high priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
GarageCond,categorical_absence,strong,0.4141,high priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
BsmtExposure,categorical_absence,moderate,0.3741,high priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
WoodDeckSF,numeric_continuous,weak,0.3538,low priority,keep,presence/absence indicator candidate,No major bivariate issue found.,Keep original feature and create selected Has... indicator.
HalfBath,numeric_continuous,weak,0.343,low priority,keep,bathroom-combination candidate,No major bivariate issue found.,Use in TotalBath feature.
BsmtFinSF1,numeric_continuous,weak,0.3019,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
HouseStyle,nominal_categorical,weak,0.2938,low priority,keep,rare grouping + one-hot encoding candidate,No major bivariate issue found.,Group rare labels before one-hot encoding.
2ndFlrSF,numeric_continuous,weak,0.2936,low priority,keep,presence/absence indicator candidate,No major bivariate issue found.,Keep original feature and create selected Has... indicator.
LotShape,ordinal_categorical,weak,0.2764,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
CentralAir,nominal_categorical,weak,0.2514,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
Electrical,nominal_categorical,weak,0.2443,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
BedroomAbvGr,count_discrete,weak,0.2423,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
RoofStyle,nominal_categorical,weak,0.2402,low priority,keep,rare grouping + one-hot encoding candidate,No major bivariate issue found.,Group rare labels before one-hot encoding.
HasGarageYrBlt,time_group,weak,0.2369,low priority,keep,age/time engineered feature candidate,No major bivariate issue found.,Prefer age features over raw year values.
PavedDrive,ordinal_categorical,weak,0.2335,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
BsmtFullBath,count_discrete,weak,0.2313,low priority,keep,bathroom-combination candidate,No major bivariate issue found.,Use in TotalBath feature.
Fence,ordinal_categorical,weak,0.2256,low priority,keep but review,keep for model validation,"Review-sensitive feature due to sparsity, availability, dominance, weak signal, or outlier behavior.",Use in baseline model and validate by cross-validation.
LowQualFinSF,numeric_zero_absence,weak,0.199,low priority,keep but review,keep for model validation,"Review-sensitive feature due to sparsity, availability, dominance, weak signal, or outlier behavior.",Use in baseline model and validate by cross-validation.
BldgType,nominal_categorical,weak,0.1857,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
Condition1,nominal_categorical,weak,0.1806,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
RoofMatl,nominal_categorical,weak,0.1772,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
3SsnPorch,numeric_zero_absence,weak,0.1564,low priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
Alley,categorical_absence,weak,0.1534,low priority,keep but review,keep for model validation,"Review-sensitive feature due to sparsity, availability, dominance, weak signal, or outlier behavior.",Use in baseline model and validate by cross-validation.
MiscFeature,categorical_absence,weak,0.112,low priority,keep but review,keep for model validation,"Review-sensitive feature due to sparsity, availability, dominance, weak signal, or outlier behavior.",Use in baseline model and validate by cross-validation.
LotFrontage,numeric_continuous,moderate,0.4091,medium priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
Exterior2nd,nominal_categorical,moderate,0.3922,medium priority,keep,rare grouping + one-hot encoding candidate,No major bivariate issue found.,Group rare labels before one-hot encoding.
Exterior1st,nominal_categorical,moderate,0.3909,medium priority,keep,rare grouping + one-hot encoding candidate,No major bivariate issue found.,Group rare labels before one-hot encoding.
BsmtCond,categorical_absence,moderate,0.3877,medium priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
BsmtFinType2,categorical_absence,moderate,0.3741,medium priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
SaleType,nominal_categorical,moderate,0.3705,medium priority,keep but availability review,keep for model validation,Sale transaction feature; confirm prediction-time availability.,Use in baseline model and validate by cross-validation.
SaleCondition,nominal_categorical,moderate,0.3681,medium priority,keep but availability review,keep for model validation,Sale transaction feature; confirm prediction-time availability.,Use in baseline model and validate by cross-validation.
OverallCond,ordinal_categorical,moderate,0.3541,medium priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
FireplaceQu,categorical_absence,moderate,0.3436,medium priority,keep,fireplace presence/quality candidate,No major bivariate issue found.,Create HasFireplace and keep fireplace quality.
MSZoning,nominal_categorical,moderate,0.328,medium priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
EnclosedPorch,numeric_zero_absence,moderate,0.2248,medium priority,keep but review,keep for model validation,"Review-sensitive feature due to sparsity, availability, dominance, weak signal, or outlier behavior.",Use in baseline model and validate by cross-validation.
BsmtUnfSF,numeric_continuous,very weak,0.1852,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
KitchenAbvGr,numeric_continuous,very weak,0.1648,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
LandContour,nominal_categorical,very weak,0.1606,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
ExterCond,ordinal_categorical,very weak,0.1536,review priority,keep for now / multivariate review,quality score / ordinal encoding candidate,Very weak bivariate signal; do not drop until multivariate/model validation.,Use ordinal encoding; consider quality-combination features.
LotConfig,nominal_categorical,very weak,0.1449,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
Functional,ordinal_categorical,very weak,0.1285,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
Heating,nominal_categorical,very weak,0.12,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
ScreenPorch,numeric_continuous,very weak,0.1001,review priority,keep for now / multivariate review,presence/absence indicator candidate,Very weak bivariate signal; do not drop until multivariate/model validation.,Keep original feature and create selected Has... indicator.
Condition2,nominal_categorical,very weak,0.0995,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
MiscVal,numeric_zero_absence,very weak,0.0982,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
SaleQuarter,time_group,very weak,0.0728,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
BsmtFinSF2,numeric_zero_absence,very weak,0.0675,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
SaleSeason,time_group,very weak,0.0592,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
LandSlope,ordinal_categorical,very weak,0.052,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
Street,nominal_categorical,very weak,0.0412,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
IsRemodeled,time_group,very weak,0.0224,review priority,keep for now / multivariate review,age/time engineered feature candidate,Very weak bivariate signal; do not drop until multivariate/model validation.,Prefer age features over raw year values.
BsmtHalfBath,count_discrete,very weak,0.0173,review priority,keep for now / multivariate review,bathroom-combination candidate,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in TotalBath feature.
Utilities,nominal_categorical,very weak,0.0141,review priority,keep for now / multivariate review,keep for model validation,Very weak bivariate signal; do not drop until multivariate/model validation.,Use in baseline model and validate by cross-validation.
