feature_name,feature_group,signal_strength,normalized_signal_score,priority_level,final_keep_decision,engineering_action,review_note,final_modeling_note
IsNewHouse,time_group,moderate,0.4336,high priority,keep,age/time engineered feature candidate,No major bivariate issue found.,Prefer age features over raw year values.
MasVnrType,nominal_categorical,moderate,0.4281,high priority,keep,presence/absence indicator candidate,No major bivariate issue found.,Keep original feature and create selected Has... indicator.
MasVnrArea,numeric_continuous,moderate,0.4213,high priority,keep,presence/absence indicator candidate,No major bivariate issue found.,Keep original feature and create selected Has... indicator.
GarageQual,categorical_absence,strong,0.4141,high priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
GarageCond,categorical_absence,strong,0.4141,high priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
LotFrontage,numeric_continuous,moderate,0.4091,medium priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
Exterior2nd,nominal_categorical,moderate,0.3922,medium priority,keep,rare grouping + one-hot encoding candidate,No major bivariate issue found.,Group rare labels before one-hot encoding.
Exterior1st,nominal_categorical,moderate,0.3909,medium priority,keep,rare grouping + one-hot encoding candidate,No major bivariate issue found.,Group rare labels before one-hot encoding.
BsmtCond,categorical_absence,moderate,0.3877,medium priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
BsmtExposure,categorical_absence,moderate,0.3741,high priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
BsmtFinType2,categorical_absence,moderate,0.3741,medium priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
SaleType,nominal_categorical,moderate,0.3705,medium priority,keep but availability review,keep for model validation,Sale transaction feature; confirm prediction-time availability.,Use in baseline model and validate by cross-validation.
SaleCondition,nominal_categorical,moderate,0.3681,medium priority,keep but availability review,keep for model validation,Sale transaction feature; confirm prediction-time availability.,Use in baseline model and validate by cross-validation.
OverallCond,ordinal_categorical,moderate,0.3541,medium priority,keep,quality score / ordinal encoding candidate,No major bivariate issue found.,Use ordinal encoding; consider quality-combination features.
FireplaceQu,categorical_absence,moderate,0.3436,medium priority,keep,fireplace presence/quality candidate,No major bivariate issue found.,Create HasFireplace and keep fireplace quality.
MSZoning,nominal_categorical,moderate,0.328,medium priority,keep,keep for model validation,No major bivariate issue found.,Use in baseline model and validate by cross-validation.
EnclosedPorch,numeric_zero_absence,moderate,0.2248,medium priority,keep but review,keep for model validation,"Review-sensitive feature due to sparsity, availability, dominance, weak signal, or outlier behavior.",Use in baseline model and validate by cross-validation.
